INT	INT	INT	INT	STRING	INT	STRING	STRING
100324	3	1252	-1	CØu chuy¬n thiên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100330	3	963	-1	CØu chuy¬n nguyên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Trß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100331	3	1063	-1	CØu chuy¬n nguyên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GVô Song#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100332	3	1163	-1	CØu chuy¬n nguyên thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GVô Song#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100333	3	1263	-1	CØu chuy¬n nguyên tiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Trß·ng thành, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100334	3	1363	-1	CØu chuy¬n nguyên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GVô Song#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100340	3	1074	-1	CØu chuy¬n siêu thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100341	3	1174	-1	CØu chuy¬n siêu linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100342	3	1274	-1	CØu chuy¬n siêu thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100343	3	1374	-1	CØu chuy¬n siêu tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t#GVô Song#Y, trß·ng thành #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100344	3	1474	-1	CØu chuy¬n siêu th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này."
100400	3	840	-1	H²n nguyên thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100401	3	940	-1	H²n nguyên linh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100402	3	1040	-1	H²n nguyên thánh thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100403	3	1140	-1	H²n nguyên tiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100404	3	1240	-1	H²n nguyên th¥n thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100410	3	951	-1	H²n nguyên ð¸a thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100411	3	1051	-1	H²n nguyên ð¸a linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100412	3	1151	-1	H²n nguyên ð¸a thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100413	3	1251	-1	H²n nguyên ð¸a tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100414	3	1351	-1	H²n nguyên ð¸a th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t#GKinh Thiên#Y, trß·ng thành #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100420	3	1062	-1	H²n nguyên thiên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100421	3	1162	-1	H²n nguyên thiên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100422	3	1262	-1	H²n nguyên thiên thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100423	3	1362	-1	H²n nguyên thiên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100424	3	1462	-1	H²n nguyên thiên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t #GKinh Thiên#Y, trß·ng thành #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100430	3	1173	-1	H²n nguyên nguyên thú	-1	#e96491f#gFF0FA0	"#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100431	3	1273	-1	H²n nguyên nguyên linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành#GVô Song#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100432	3	1373	-1	H²n nguyên nguyên thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GVô Song#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100433	3	1473	-1	H²n nguyên nguyên tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100434	3	1573	-1	H²n nguyên nguyên th¥n thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, tß ch¤t #GKinh Thiên#Y, trß·ng thành #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100440	3	1284	-1	H²n nguyên siêu thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Trß¶ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
100441	3	1384	-1	H²n nguyên siêu linh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này."
100442	3	1484	-1	H²n nguyên siêu thánh thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này."
100443	3	1584	-1	H²n nguyên siêu tiên thú	-1	#e96491f#gFF0FA0	"#YTrân thú có ngµ tính, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này."
100444	3	1684	-1	H²n nguyên siêu th¥n thú	-1	#e96491f#gFF0FA0	"#YNgµ tính, Trß¶ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này."
