INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
8229	ÐÕi Giáp Trùng Bäo Bäo	822	55	9	0	1	100	10	688	400000	-1	-1	706	900000	710	350000	722	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	918	1326	816	816	918	1051	1156	1208	1366	1576	100	500	50	150	200	900000	8220
8230	ÐÕi Giáp Trùng Trß·ng Thành	823	65	9	0	0	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	954	1379	848	848	954	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8231	ÐÕi Giáp Trùng Biªn D¸	823	65	9	1	0	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1012	1462	899	899	1012	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8232	ÐÕi Giáp Trùng Biªn D¸	823	65	9	1	0	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1069	1544	950	950	1069	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8233	ÐÕi Giáp Trùng Biªn D¸	823	65	9	1	0	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1126	1627	1001	1001	1126	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8234	ÐÕi Giáp Trùng Biªn D¸	823	65	9	1	0	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1184	1710	1052	1052	1184	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8235	ÐÕi Giáp Trùng Biªn D¸	823	65	9	1	0	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1241	1793	1103	1103	1241	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8239	ÐÕi Giáp Trùng Bäo Bäo	823	65	9	0	1	100	10	688	450000	-1	-1	706	900000	710	400000	722	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	954	1379	848	848	954	1153	1268	1325	1498	1729	100	500	50	150	200	900000	8230
8240	ÐÕi Giáp Trùng Trß·ng Thành	824	75	9	0	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	991	1432	881	881	991	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8241	ÐÕi Giáp Trùng Biªn D¸	824	75	9	1	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1041	1504	925	925	1041	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8242	ÐÕi Giáp Trùng Biªn D¸	824	75	9	1	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1090	1575	969	969	1090	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8243	ÐÕi Giáp Trùng Biªn D¸	824	75	9	1	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1140	1647	1013	1013	1140	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8244	ÐÕi Giáp Trùng Biªn D¸	824	75	9	1	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1190	1719	1057	1057	1190	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8245	ÐÕi Giáp Trùng Biªn D¸	824	75	9	1	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1239	1790	1102	1102	1239	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8246	ÐÕi Giáp Trùng Biªn D¸	824	75	9	1	0	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1289	1862	1146	1146	1289	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8249	ÐÕi Giáp Trùng Bäo Bäo	824	75	9	0	1	100	10	688	500000	-1	-1	706	900000	710	450000	722	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	991	1432	881	881	991	1255	1380	1443	1631	1882	100	500	50	150	200	900000	8240
8250	ÐÕi Giáp Trùng Trß·ng Thành	825	85	9	0	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1027	1484	913	913	1027	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8251	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1071	1548	952	952	1071	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8252	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1115	1611	991	991	1115	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8253	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1159	1675	1031	1031	1159	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8254	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1203	1739	1070	1070	1203	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8255	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1248	1802	1109	1109	1248	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8256	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1292	1866	1148	1148	1292	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8257	ÐÕi Giáp Trùng Biªn D¸	825	85	9	1	0	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1336	1929	1187	1187	1336	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8259	ÐÕi Giáp Trùng Bäo Bäo	825	85	9	0	1	100	10	688	550000	-1	-1	706	900000	710	500000	722	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1027	1484	913	913	1027	1357	1492	1560	1764	2035	100	500	50	150	200	900000	8250
8260	ÐÕi Giáp Trùng Trß·ng Thành	826	95	9	0	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1064	1537	946	946	1064	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8261	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1104	1595	981	981	1104	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8262	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1144	1653	1017	1017	1144	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8263	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1184	1710	1052	1052	1184	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8264	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1224	1768	1088	1088	1224	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8265	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1264	1826	1123	1123	1264	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8266	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1304	1883	1159	1159	1304	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8267	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1344	1941	1194	1194	1344	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8268	ÐÕi Giáp Trùng Biªn D¸	826	95	9	1	0	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1384	1999	1230	1230	1384	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8269	ÐÕi Giáp Trùng Bäo Bäo	826	95	9	0	1	100	10	688	600000	-1	-1	706	900000	710	550000	722	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1064	1537	946	946	1064	1459	1604	1677	1896	2188	100	500	50	150	200	900000	8260
8270	Ðß½ng H± Trß·ng Thành	827	5	9	0	0	10	10	688	300000	-1	-1	706	900000	710	250000	728	100000	670	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	200	150	100	50	900000	8270
8271	Ðß½ng H± Biªn D¸	827	5	9	1	0	10	10	688	300000	-1	-1	706	900000	710	250000	728	100000	670	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	755	862	1402	862	1186	846	930	972	1099	1269	500	200	150	100	50	900000	8270
8272	Ðß½ng H± Biªn D¸	827	5	9	1	0	10	10	688	300000	-1	-1	706	900000	710	250000	728	100000	670	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	853	975	1585	975	1341	846	930	972	1099	1269	500	200	150	100	50	900000	8270
8279	Ðß½ng H± Bäo Bäo	827	5	9	0	1	10	10	688	300000	-1	-1	706	900000	710	250000	728	100000	670	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	200	150	100	50	900000	8270
8280	Ðß½ng H± Trß·ng Thành	828	45	9	0	0	10	10	688	350000	-1	-1	706	900000	710	300000	728	150000	670	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	685	783	1272	783	1076	948	1042	1090	1232	1422	500	200	150	100	50	900000	8280
8281	Ðß½ng H± Biªn D¸	828	45	9	1	0	10	10	688	350000	-1	-1	706	900000	710	300000	728	150000	670	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	753	861	1399	861	1184	948	1042	1090	1232	1422	500	200	150	100	50	900000	8280
8282	Ðß½ng H± Biªn D¸	828	45	9	1	0	10	10	688	350000	-1	-1	706	900000	710	300000	728	150000	670	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	822	939	1527	939	1292	948	1042	1090	1232	1422	500	200	150	100	50	900000	8280
8283	Ðß½ng H± Biªn D¸	828	45	9	1	0	10	10	688	350000	-1	-1	706	900000	710	300000	728	150000	670	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	890	1018	1654	1018	1399	948	1042	1090	1232	1422	500	200	150	100	50	900000	8280
8289	Ðß½ng H± Bäo Bäo	828	45	9	0	1	10	10	688	350000	-1	-1	706	900000	710	300000	728	150000	670	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	685	783	1272	783	1076	948	1042	1090	1232	1422	500	200	150	100	50	900000	8280
8290	Ðß½ng H± Trß·ng Thành	829	55	9	0	0	10	10	688	400000	-1	-1	706	900000	710	350000	728	200000	670	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	500	200	150	100	50	900000	8290
8291	Ðß½ng H± Biªn D¸	829	55	9	1	0	10	10	688	400000	-1	-1	706	900000	710	350000	728	200000	670	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	767	877	1425	877	1206	1051	1156	1208	1366	1576	500	200	150	100	50	900000	8290
8292	Ðß½ng H± Biªn D¸	829	55	9	1	0	10	10	688	400000	-1	-1	706	900000	710	350000	728	200000	670	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	821	938	1524	938	1290	1051	1156	1208	1366	1576	500	200	150	100	50	900000	8290
8293	Ðß½ng H± Biªn D¸	829	55	9	1	0	10	10	688	400000	-1	-1	706	900000	710	350000	728	200000	670	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	874	999	1624	999	1374	1051	1156	1208	1366	1576	500	200	150	100	50	900000	8290
8294	Ðß½ng H± Biªn D¸	829	55	9	1	0	10	10	688	400000	-1	-1	706	900000	710	350000	728	200000	670	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	928	1060	1723	1060	1458	1051	1156	1208	1366	1576	500	200	150	100	50	900000	8290
8299	Ðß½ng H± Bäo Bäo	829	55	9	0	1	10	10	688	400000	-1	-1	706	900000	710	350000	728	200000	670	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	500	200	150	100	50	900000	8290
8300	Ðß½ng H± Trß·ng Thành	830	65	9	0	0	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	742	848	1379	848	1167	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8301	Ðß½ng H± Biªn D¸	830	65	9	1	0	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	787	899	1462	899	1237	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8302	Ðß½ng H± Biªn D¸	830	65	9	1	0	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	831	950	1544	950	1307	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8303	Ðß½ng H± Biªn D¸	830	65	9	1	0	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	876	1001	1627	1001	1377	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8304	Ðß½ng H± Biªn D¸	830	65	9	1	0	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	920	1052	1710	1052	1447	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8305	Ðß½ng H± Biªn D¸	830	65	9	1	0	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	965	1103	1793	1103	1517	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8309	Ðß½ng H± Bäo Bäo	830	65	9	0	1	10	10	688	450000	-1	-1	706	900000	710	400000	728	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	742	848	1379	848	1167	1153	1268	1325	1498	1729	500	200	150	100	50	900000	8300
8310	Ðß½ng H± Trß·ng Thành	831	75	9	0	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	771	881	1432	881	1212	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8311	Ðß½ng H± Biªn D¸	831	75	9	1	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	809	925	1504	925	1272	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8312	Ðß½ng H± Biªn D¸	831	75	9	1	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	848	969	1575	969	1333	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8313	Ðß½ng H± Biªn D¸	831	75	9	1	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	887	1013	1647	1013	1394	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8314	Ðß½ng H± Biªn D¸	831	75	9	1	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	925	1057	1719	1057	1454	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8315	Ðß½ng H± Biªn D¸	831	75	9	1	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	964	1102	1790	1102	1515	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8316	Ðß½ng H± Biªn D¸	831	75	9	1	0	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1002	1146	1862	1146	1575	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8319	Ðß½ng H± Bäo Bäo	831	75	9	0	1	10	10	688	500000	-1	-1	706	900000	710	450000	728	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	771	881	1432	881	1212	1255	1380	1443	1631	1882	500	200	150	100	50	900000	8310
8320	Ðß½ng H± Trß·ng Thành	832	85	9	0	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	799	913	1484	913	1256	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8321	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	833	952	1548	952	1310	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8322	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	867	991	1611	991	1363	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8323	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	902	1031	1675	1031	1417	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8324	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	936	1070	1739	1070	1471	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8325	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	970	1109	1802	1109	1525	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8326	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1004	1148	1866	1148	1579	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8327	Ðß½ng H± Biªn D¸	832	85	9	1	0	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1039	1187	1929	1187	1633	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8329	Ðß½ng H± Bäo Bäo	832	85	9	0	1	10	10	688	550000	-1	-1	706	900000	710	500000	728	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	799	913	1484	913	1256	1357	1492	1560	1764	2035	500	200	150	100	50	900000	8320
8330	Ðß½ng H± Trß·ng Thành	833	95	9	0	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	828	946	1608	946	1301	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8331	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	859	981	1669	981	1350	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8332	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	890	1017	1729	1017	1398	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8333	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	921	1052	1789	1052	1447	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8334	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	952	1088	1850	1088	1496	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8335	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	983	1123	1910	1123	1545	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8336	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1014	1159	1970	1159	1594	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8337	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1045	1194	2031	1194	1642	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8338	Ðß½ng H± Biªn D¸	833	95	9	1	0	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1076	1230	2091	1230	1691	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8339	Ðß½ng H± Bäo Bäo	833	95	9	0	1	10	10	688	600000	-1	-1	706	900000	710	550000	728	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	828	946	1608	946	1301	1459	1604	1677	1896	2188	500	200	150	100	50	900000	8330
8340	Häi T£c ThØ Trß·ng Thành	834	5	9	0	0	1	10	698	300000	-1	-1	726	900000	706	250000	716	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	50	200	100	150	500	900000	8340
8341	Häi T£c ThØ Biªn D¸	834	5	9	1	0	1	10	698	300000	-1	-1	726	900000	706	250000	716	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1402	1186	755	970	755	846	930	972	1099	1269	50	200	100	150	500	900000	8340
8342	Häi T£c ThØ Biªn D¸	834	5	9	1	0	1	10	698	300000	-1	-1	726	900000	706	250000	716	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1585	1341	853	1097	853	846	930	972	1099	1269	50	200	100	150	500	900000	8340
8349	Häi T£c ThØ Bäo Bäo	834	5	9	0	1	1	10	698	300000	-1	-1	726	900000	706	250000	716	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	50	200	100	150	500	900000	8340
8350	Häi T£c ThØ Trß·ng Thành	835	45	9	0	0	1	10	698	350000	-1	-1	726	900000	706	300000	716	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	50	200	100	150	500	900000	8350
8351	Häi T£c ThØ Biªn D¸	835	45	9	1	0	1	10	698	350000	-1	-1	726	900000	706	300000	716	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	50	200	100	150	500	900000	8350
8352	Häi T£c ThØ Biªn D¸	835	45	9	1	0	1	10	698	350000	-1	-1	726	900000	706	300000	716	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	50	200	100	150	500	900000	8350
8353	Häi T£c ThØ Biªn D¸	835	45	9	1	0	1	10	698	350000	-1	-1	726	900000	706	300000	716	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	50	200	100	150	500	900000	8350
