INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
38	6	ÐÕi Lý Binh Pháp	Tiên t± cüa Ðoàn Th¸ · nß¾c ÐÕi Lý ðã sáng l§p ra mµt binh pháp chuyên v« kh¡c phøc ð¯i thü, ðã cho thª h® sau làm døng binh pháp này trong võ h÷c. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_6	5	0.5	1	20	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
39	6	ÐÕo Dçn Thu§t	Mµt loÕi võ công chuyên dùng hô h¤p ð¬ luy®n khí, giúp cho c½ th¬ tr· nên cß¶ng tráng. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_7	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
40	6	Ðoàn Gia Quy«n Pháp	LoÕi quy«n pháp bí truy«n cüa Ðoàn Th¸, cao quý ði¬n nhã, chính ðÕi quang minh, v¯n có mµt phong thái uy nghiêm cüa hoàng tµc. Sau khi tu luy®n tu luy®n có th¬ nâng cao ngoÕi công lñc phòng ngñ cüa ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_8	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
41	6	Ðoàn Gia Kiªm Pháp	Kiªm pháp bí truy«n cüa Ðoàn Th¸, t¤n và lui ð«u có phß½ng hß¾ng, v¯n có mµt phong thái uy nghiêm cüa hoàng tµc. Sau khi tu luy®n có th¬ nâng cao ngoÕi công lñc công kích cüa ð® tØ Thiªu Lâm. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_9	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
42	6	Khô Thi«n	Th¥n công cüa Thiên Long Tñ ðßþc truy«n ð¶i này sang ð¶i khác, t¸nh t÷a tham thi«n, tâm vô bàng vø, nµi công và ph§t pháp hòa nguy®n vào nhau dçn ðªn mµt cänh gi¾i siêu phàm. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_10	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
43	7	Linh ThÑu Công	Là loÕi th¥n công ðßþc tu t§p lÕi t× các ðµng tác cüa chim ðÕi bàng, xu¤t chiêu ðµc ác, không mµt chút nhân tình. Sau khi tu luy®n có th¬ nâng cao tÖ l® m®nh trung cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_11	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
44	7	Ti¬u Vô Tß½ng Công	Th¥n Du Thái Hß có ngu°n g¯c t× ðÕo giáo, ý ni®m thanh t¸nh, lúc xu¤t và lúc thu h°i ð«u không ð¬ lÕi d¤u tích. Sau khi tu luy®n có th¬ nâng cao tÖ l® né tránh cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_12	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
45	7	Quy TÑc Công	Ti«m tâm ti«m tÑc có ngu°n g¯c t× ðÕo giáo, chuyên v« nín th·, khiªn h½i th· cüa chính mình giäm xu¯ng mÑc th¤p nh¤t. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_13	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
46	7	Thiên S½n Dung Tuyªt Công	Nµi công tâm pháp bí truy«n cüa phái Thiên S½n. Sau khi tu luy®n có th¬ nâng cao ngoÕi công lñc phòng ngñ cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_14	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
47	7	Thiên S½n Chiªt Mai Thü	Bí truy«n C¥m Nã Thü Pháp cüa phái Thiên S½n, sau khi tu luy®n có th¬ nâng cao ngoÕi công lñc công kích cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_15	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
48	7	Thiên S½n Løc Dß½ng Chß·ng	Th¥n công tuy®t h÷c cüa phái Tiêu Diêu, ðã ðßþc làm sáng danh thông qua Linh Tñu Cung, uy lñc cüa phái này ðã l×ng danh thiên hÕ, chï có ngß¶i ngoài không biªt mà thôi. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa3_16	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
49	8	Bách Hoa Kinh	Nghe nói có ngu°n g¯c · Thành Ðß¶ng, sØ døng tråm hoa làm ðß¶ng dçn l¯i, sØ døng nµi lñc ð¬ b¯ tr§n, khiªn ð¸ch thü r½i vào trong tr§n không l¯i thoát. Sau khi tu luy®n có th¬ nâng cao tÖ l® m®nh trung cüa ð® tØ phái Tiêu Diêu. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_1	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
50	8	Ðµn Giáp Thiên Thß	Th¶i kÏ tam qu¯c Tã Ni«m Tiên Nhân ðã ghi nh§n lÕi kÏ môn ðµn giáp, v¾i phép thu§t tråm biªn vÕn hóa. Sau khi tu luy®n có th¬ nâng cao tÖ l® né tránh cüa ð® tØ phái Tiêu Diêu. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_2	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
51	8	Thái Bình Yªu Thu§t	Th¶i kÏ tam qu¯c Nam Hoa Lão Tiên ðã ghi nh§n lÕi vi®c g÷i gió g÷i mßa, 1 phép thu§t khiªn møc tiêu b¸ l¶ m¶ chÆng biªt gì. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Tiêu Diêu. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_3	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
52	8	Ðoän Ca Hành	T± sß cüa phái Tiêu Diêu trong âm nhÕc ca t× ðã lãnh ngµ ra võ công tâm pháp. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Tiêu Diêu. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_4	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
53	8	Ðan Thanh Dçn	T± sß cüa phái Tiêu Diêu ðã lãnh ngµ ra võ công tâm pháp t× nhæng bÑc tranh. Sau khi tu luy®n có th¬ nâng cao nµi công lñc công kích cüa ð® tØ phái Tiêu Diêu. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_5	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
54	8	Kinh Ðào Chß·ng Pháp	Nhæng nåm g¥n ðây loÕi th¥n công l×ng danh thiên hÕ, không có mµt ai nào biªt ðßþc lai l¸ch cüa nó. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Tiêu Diêu, #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_6	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
55	0	D¸ch Cân Kinh	Là ki®t tác cüa ÐÕt Ma T± Sß, là ð® nh¤t tuy®t h÷c cüa Thiªu Lâm. Sau khi tu luy®n có th¬ nâng cao tÖ l® hµi tâm nh¤t kích cüa ð® tØ phái Thiªu Lâm. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_7	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
56	1	CØu Dß½ng Thiên Thß	LoÕi sách chân kinh này ðßþc c¤t chÑa trong quy¬n kinh thÑ 4 Lång Gia Kinh cüa ÐÕt Ma, g¥n mß¶i m¤y nåm nay ðßþc Minh Giáo s· hæu. Sau khi tu luy®n có th¬ nâng cao tÖ l® hµi tâm nh¤t kích cüa ð® tØ phái Minh Giáo. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_8	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
57	2	Ðä C¦u B±ng Pháp	Võ công Cái Bang do t± sß gia cüa Cái Bang sáng l§p , cái tên tuy nghe không ðßþc hay, nhßng chiêu thÑc thiên biªn vÕn hóa. Sau khi tu luy®n có th¬ nâng cao tÖ l® hµi tâm nh¤t kích cüa ð® tØ phái Cái Bang. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_9	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
58	3	Tiên Thiên Công	Phß½ng pháp luy®n khí b¢ng hô h¤p ðßþc ðÕo giáo cüa Xích T°ng TØ sáng l§p, có th¬ tø t§p tam bäo nguyên khí, nguyên th¥n, nguyên tinh . Sau khi tu luy®n có th¬ nâng cao tÖ l® hµi tâm nh¤t kích cüa ð® tØ phái Võ Ðang. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_10	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
59	4	CØu Âm Thiên Thß	Lßng danh thiên hÕ cüa võ h÷c chi bäo, nghe nói có ngu°n g¯c t× ÐÕo Tàng, nµi dung bác ðÕi tinh thâm,bao hàm nµi công và ngoÕi công. Sau khi tu luy®n có th¬ nâng cao tÖ l® hµi tâm nh¤t kích cüa ð® tØ phái Nga My. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_11	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
60	5	Hóa Công ÐÕi Pháp	B¡c Minh Th¥n Công cüa phái Tiêu Diêu là loÕi võ công bá ðÕo nh¤t, có th¬ làm nµi lñc cüa ð¯i thü tiêu tan. Sau khi tu luy®n có th¬ nâng cao tÖ l® hµi tâm nh¤t kích cüa ð® tØ phái Tinh Túc. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_12	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
61	6	Løc MÕch Th¥n Kiªm	Ð® nh¤t kiªm pháp cüa Thiên Long Tñ uy lñc vô cùng, v§n døng nµi lñc thâm h§u tÕo thành kiªm khí vô hình gây sát thß½ng cho møc tiêu. Sau khi tu luy®n có th¬ nâng cao tÖ l® h°i tâm nh¤t kích cüa ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_13	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
62	7	Sinh TØ Phù	Tr¤n cung chi bäo cüa Lînh Tñu Cung sØ døng lñc lßþng cüa Thiên S½n Løc Dß½ng ð¬ hóa thüy thành bång, làm cho møc tiêu b¸ phong töa kinh mÕch. Sau khi tu luy®n có th¬ nâng cao tÖ l® h°i tâm nh¤t kích cüa ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_14	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
63	8	B¡c Minh Th¥n Công	Th¥n công tuy®t thª cüa phái Tiêu Diêu chü yªu là tích lûy nµi lñc. Sau khi tu luy®n có th¬ nâng cao tÖ l® h°i tâm nh¤t kích cüa ð® tØ phái Tiêu Diêu. #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa4_15	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
64	9	Giang Nam Kiªm Quyªt	Thª gia cüa Mµ Dung quanh nåm ð«u s¯ng tÕi Giang nam, dña vào dòng su¯i chäy · Giang Nam, ðã sáng l§p ra chiêu thÑc kiªm pháp nh© nhß chim én. Sau khi tu luy®n có th¬ nâng cao tÖ l® m®nh trung cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	FightSkillMurong1_6	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
65	9	Sát Trß¶ng Quyªt	Ð® tØ cüa phái Mµ Dung trong chiªn trß¶ng r¤t li«u mÕng, sØ døng máu trong c½ th¬ cüa chính mình ð¬ luy®n ra loÕi võ công tiêu di®t kë ð¸ch. Sau khi tu luy®n có th¬ nâng cao tÖ l® né tránh cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	FightSkillMurong_14	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
66	9	Viêm Dß½ng Tâm Pháp	Thª gia Mµ Dung s· hæu mµt nµi lñc bá ðÕo, m²i khi tri¬n khai kÛ nång này làm mình tr· nên tàn bÕo hung ác, không có ai dám ð¯i m£t v¾i chính mình. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	FightSkillMurong_5	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
67	9	Thanh Vân Bí T¸ch	Ti«n b¯i cüa thª gia Mµ Dung trong lúc ðang quan sát các ðám mây trên b¥u tr¶i ðã lãnh ngµ ra 1 loÕi công pháp, sau khi thi tri¬n kÛ nång này khiªn cho ð¯i thü phäi r½i vào nhæng ðám mây sß½ng mù m¸t m¶, không phân bi®t ðßþc phß½ng hß¾ng. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	FightSkillMurong_15	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
68	9	Sß½ng Lînh Kiªm Thu§t	Ðã t×ng th¤y qua kiªm thu§t cüa Lînh Nam, do thª gia Mµ Dung lßu truy«n lÕi cho ð® tØ, v¾i chiêu thÑc dÑt khoát. Sau khi tu luy®n có th¬ nâng cao nµi công lñc công kích cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 10#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	FightSkillMurong_13	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
69	9	Tinh Nguy®t Yêu Thu§t	Thª gia Mµ Dung ðã dña vào nhæng b¯i qu¨ quan sát các ngôi sao trên b¥u tr¶i, ðã lãnh ngµ ra thiên ð¸a ðÕo lý luân h°i. Khi thi tri¬n kÛ nång này gi¯ng nhß các ngôi sao t× trên tr¶i r½i xu¯ng. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 20#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	FightSkillMurong_7	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
70	9	Tinh Tuy«n Kiªm Ði¬n	Tr¤n trang tuy®t h÷c cüa thª gia Mµ Dung, ðã lãnh ngµ ra lñc lßþng cüa thiên ð¸a càn khôn, có th¬ mßþn lñc lßþng cüa thên ð¸a tr· thành lñc lßþng cüa chính mình. Sau khi tu luy®n có th¬ nâng cao tÖ l® h°i tâm nh¤t kích cüa ð® tØ phái Mµ Dung.  #r#c54FF00ÐÆng c¤p h÷c t§p 35#r#c54FF00ÐÆng c¤p cao nh¤t 119#r#c54FF00 ÐÆng c¤p h÷c t§p cao nh¤t không th¬ vßþt quá 5 c¤p cüa ðÆng c¤p nhân v§t	XinFa5_1	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
71	9	Ðµn Dân Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Thiªu Lâm, võ h÷c tinh túy, ðÕi ðÕo quy nh¤t. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Thiªu Lâm. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_3	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
72	0	Huy«n Cß½ng Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Mµ Dung, võ h÷c tinh túy, ðÕi ðÕo quy nh¤t. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_6	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
73	1	Thiên Th¥n Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Minh Giáo, võ h÷c tinh túy. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_4	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
74	2	Ð¸a Vçn Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Cái Bang, võ h÷c tinh túy. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_2	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
75	3	Trø Khung Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Võ Ðang, võ h÷c tinh túy. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_8	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
76	4	H²n Mang Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Nga My, võ h÷c tinh túy. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_1	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
77	5	Hoang Lûy Ði¬n Bí	Ghi nh§n lÕi t¤t cä bí tích võ h÷c tâm ð¡c cüa các ti«n b¯i phái Tinh Túc, võ h÷c tinh túyt. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Mµ Dung. #r#c54FF00ÐÆng c¤p h÷c t§p 80#r#c54FF00ÐÆng c¤p cao nh¤t 250#r#c54FF00ÐÆng c¤p h÷c t§p cao nh¤t không hÕn chª cüa ðÆng c¤p nhân v§t	FightSkillaoyi_10	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
