INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10433108	1	4	33	108	0	611	1	-1	-1	壯士之丁甲雙劍	48	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2420	9680	172	3	3	-1	-1	BothHands2_6	双短类	1391	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433109	1	4	33	109	0	611	1	-1	-1	壯士之丁甲雙劍	49	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2500	10000	174	3	3	-1	-1	BothHands2_6	双短类	1391	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433110	1	4	33	110	0	611	1	-1	-1	壯士之丁甲雙劍	50	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2700	10800	175	3	3	-1	-1	BothHands2_6	双短类	1391	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433111	1	4	33	111	0	611	1	-1	-1	張遼之丁甲雙劍	41	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1860	7440	164	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433112	1	4	33	112	0	611	1	-1	-1	張遼之丁甲雙劍	42	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1940	7760	165	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	92	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433113	1	4	33	113	0	611	1	-1	-1	張遼之丁甲雙劍	43	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2020	8080	166	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433114	1	4	33	114	0	611	1	-1	-1	張遼之丁甲雙劍	44	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2100	8400	167	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433115	1	4	33	115	0	611	1	-1	-1	張遼之丁甲雙劍	45	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2180	8720	169	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433116	1	4	33	116	0	611	1	-1	-1	張遼之丁甲雙劍	46	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2260	9040	170	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433117	1	4	33	117	0	611	1	-1	-1	張遼之丁甲雙劍	47	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2340	9360	171	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	-1	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433118	1	4	33	118	0	611	1	-1	-1	張遼之丁甲雙劍	48	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2420	9680	172	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433119	1	4	33	119	0	611	1	-1	-1	張遼之丁甲雙劍	49	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2500	10000	174	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433120	1	4	33	120	0	611	1	-1	-1	張遼之丁甲雙劍	50	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2700	10800	175	3	3	-1	-1	BothHands2_6	双短类	1392	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433121	1	4	33	121	0	611	1	-1	-1	專諸之丁甲雙劍	41	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1860	7440	164	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	90	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433122	1	4	33	122	0	611	1	-1	-1	專諸之丁甲雙劍	42	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1940	7760	165	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	92	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433123	1	4	33	123	0	611	1	-1	-1	專諸之丁甲雙劍	43	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2020	8080	166	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	94	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433124	1	4	33	124	0	611	1	-1	-1	專諸之丁甲雙劍	44	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2100	8400	167	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	96	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433125	1	4	33	125	0	611	1	-1	-1	專諸之丁甲雙劍	45	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2180	8720	169	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	98	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433126	1	4	33	126	0	611	1	-1	-1	專諸之丁甲雙劍	46	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2260	9040	170	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433127	1	4	33	127	0	611	1	-1	-1	專諸之丁甲雙劍	47	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2340	9360	171	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	102	-1	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433128	1	4	33	128	0	611	1	-1	-1	專諸之丁甲雙劍	48	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2420	9680	172	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	104	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433129	1	4	33	129	0	611	1	-1	-1	專諸之丁甲雙劍	49	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2500	10000	174	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	106	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433130	1	4	33	130	0	611	1	-1	-1	專諸之丁甲雙劍	50	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2700	10800	175	3	3	-1	-1	BothHands2_6	双短类	1393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433131	1	4	33	131	0	611	1	-1	-1	張良之丁甲雙劍	41	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1860	7440	164	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433132	1	4	33	132	0	611	1	-1	-1	張良之丁甲雙劍	42	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1940	7760	165	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	92	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433133	1	4	33	133	0	611	1	-1	-1	張良之丁甲雙劍	43	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2020	8080	166	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433134	1	4	33	134	0	611	1	-1	-1	張良之丁甲雙劍	44	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2100	8400	167	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433135	1	4	33	135	0	611	1	-1	-1	張良之丁甲雙劍	45	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2180	8720	169	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433136	1	4	33	136	0	611	1	-1	-1	張良之丁甲雙劍	46	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2260	9040	170	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433137	1	4	33	137	0	611	1	-1	-1	張良之丁甲雙劍	47	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2340	9360	171	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	-1	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433138	1	4	33	138	0	611	1	-1	-1	張良之丁甲雙劍	48	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2420	9680	172	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433139	1	4	33	139	0	611	1	-1	-1	張良之丁甲雙劍	49	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2500	10000	174	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433140	1	4	33	140	0	611	1	-1	-1	張良之丁甲雙劍	50	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2700	10800	175	3	3	-1	-1	BothHands2_6	双短类	1394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433141	1	4	33	141	0	611	1	-1	-1	孫武之丁甲雙劍	41	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1860	7440	164	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	6	-1	4	-1	-1	-1	-1	-1	-1	-1	90	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433142	1	4	33	142	0	611	1	-1	-1	孫武之丁甲雙劍	42	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	1940	7760	165	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	7	-1	4	-1	-1	-1	-1	-1	-1	-1	92	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433143	1	4	33	143	0	611	1	-1	-1	孫武之丁甲雙劍	43	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2020	8080	166	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	8	-1	4	-1	-1	-1	-1	-1	-1	-1	94	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433144	1	4	33	144	0	611	1	-1	-1	孫武之丁甲雙劍	44	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2100	8400	167	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	5	-1	4	-1	-1	-1	-1	-1	-1	-1	96	-1	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433145	1	4	33	145	0	611	1	-1	-1	孫武之丁甲雙劍	45	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2180	8720	169	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	9	-1	5	-1	-1	-1	-1	-1	-1	-1	98	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433146	1	4	33	146	0	611	1	-1	-1	孫武之丁甲雙劍	46	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2260	9040	170	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	4	-1	5	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433147	1	4	33	147	0	611	1	-1	-1	孫武之丁甲雙劍	47	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2340	9360	171	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	7	-1	5	-1	-1	-1	-1	-1	-1	-1	102	-1	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433148	1	4	33	148	0	611	1	-1	-1	孫武之丁甲雙劍	48	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2420	9680	172	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	8	-1	5	-1	-1	-1	-1	-1	-1	-1	104	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433149	1	4	33	149	0	611	1	-1	-1	孫武之丁甲雙劍	49	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2500	10000	174	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	6	-1	5	-1	-1	-1	-1	-1	-1	-1	106	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10433150	1	4	33	150	0	611	1	-1	-1	孫武之丁甲雙劍	50	與子午劍齊名的一代利器，兩劍形影不離，可合而為一，發揮巨大的潛力。	2700	10800	175	3	3	-1	-1	BothHands2_6	双短类	1395	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	5	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
