INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
81	64815	683502	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	59844	639732	335124	1919195	335124	1919195	89765	959597	89765	959597	335124	1919195	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926	359061	2558926
82	67405	708055	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	62704	758198	351141	2274593	351141	2274593	94056	1137296	94056	1137296	351141	2274593	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790	376223	3032790
83	70038	732993	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	65647	931444	367624	2794332	367624	2794332	98471	1397166	98471	1397166	367624	2794332	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776	393883	3725776
84	72716	758314	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	68674	1174470	384572	3523410	384572	3523410	103010	1761705	103010	1761705	384572	3523410	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880	412041	4697880
85	75437	784019	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	71783	1502877	401985	4508630	401985	4508630	107675	2254315	107675	2254315	401985	4508630	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506	430698	6011506
86	78202	810108	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	74976	1932863	419863	5798588	419863	5798588	112463	2899294	112463	2899294	419863	5798588	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450	449853	7731450
87	81012	836582	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	78251	2481229	438206	7443687	438206	7443687	117377	3721844	117377	3721844	438206	7443687	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916	469507	9924916
88	83865	863438	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	81610	3165375	457014	9496125	457014	9496125	122415	4748063	122415	4748063	457014	9496125	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500	489658	12661500
89	91227	890680	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	85052	4003302	476288	12009905	476288	12009905	127577	6004952	127577	6004952	476288	12009905	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206	510309	16013206
90	98315	918305	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	88576	5013608	496027	15040823	496027	15040823	132864	7520411	132864	7520411	496027	15040823	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430	531457	20054430
91	105634	946314	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	92184	6215494	516231	18646482	516231	18646482	138276	9323241	138276	9323241	516231	18646482	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976	553104	24861976
92	114811	974707	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	95875	7628760	536900	22886280	536900	22886280	143813	11443140	143813	11443140	536900	22886280	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040	575250	30515040
93	122632	1003485	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	99649	9273807	558034	27821420	558034	27821420	149473	13910710	149473	13910710	558034	27821420	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226	597893	37095226
94	130683	1032646	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	103506	11171633	579633	33514898	579633	33514898	155259	16757449	155259	16757449	579633	33514898	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530	621036	44686530
95	116341	1062191	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	107446	13343839	601698	40031517	601698	40031517	161169	20015759	161169	20015759	601698	40031517	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356	644676	53375356
96	126652	1092120	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	111469	15812625	624227	47437875	624227	47437875	167204	23718938	167204	23718938	624227	47437875	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500	668815	63250500
97	135464	1122434	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	115575	18600792	647222	55802375	647222	55802375	173363	27901187	173363	27901187	647222	55802375	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166	693452	74403166
98	146393	1153130	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	119765	21731738	670682	65195213	670682	65195213	179647	32597606	179647	32597606	670682	65195213	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950	718588	86926950
99	157650	1184212	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	124037	25229464	694607	75688392	694607	75688392	186056	37844196	186056	37844196	694607	75688392	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856	744222	100917856
100	167287	1215677	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	128393	25630410	718998	76891230	718998	76891230	192589	38445615	192589	38445615	718998	76891230	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640	770355	102521640
101	179161	1247526	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	132831	26042232	743853	78126695	743853	78126695	199247	39063347	199247	39063347	743853	78126695	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926	796986	104168926
102	191364	1279759	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	137353	26465153	769174	79395458	769174	79395458	206029	39697729	206029	39697729	769174	79395458	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610	824115	105860610
103	203895	1312377	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	141957	26899399	794959	80698197	794959	80698197	212936	40349099	212936	40349099	794959	80698197	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596	851742	107597596
104	216755	1345378	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780
105	236811	1378763	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066
106	320000	1412532	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350
107	320000	1446686	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536
108	320000	1481222	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520
109	320000	1516144	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206
110	320000	1551449	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	358446	30275123	2007297.6	90825368	2007297.6	90825368	537670	45412684	537670	45412684	2007297.6	90825368	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490
