INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
#115	1	1	76	0	808000	90	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh höa truy«n lÕi hoÕt ðµng	94
#116	1	1	84	0	808000	70	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh höa truy«n lÕi hoÕt ðµng	94
#117	1	0	12136	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12295
#118	1	0	12236	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12395
#119	1	0	12336	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12495
#120	1	0	12436	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12595
#121	1	0	12536	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12695
#122	1	0	12636	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12795
#123	1	0	12736	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	M÷i ngß¶i cùng nhau ðªn dao ðµng quán hoÕt ðµng	12895
124	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 7 cho ðµi c¤p 100	-1
125	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 4 cho ðµi c¤p 100	-1
126	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 7 cho ðµi c¤p 110	-1
127	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 4 cho ðµi c¤p 110	-1
#128	1	0	11800	0	808076	88	0	0	0	0	0	4	240	#{SL_20080416_03}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngû nh¤t sß môn t£ng l­ hoÕt ðµng	11895
#129	1	0	11900	0	808076	88	0	0	0	0	0	4	240	#{SL_20080416_03}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngû nh¤t sß môn t£ng l­ hoÕt ðµng	11995
#130	1	0	12000	0	808076	88	0	0	0	0	0	4	240	#{SL_20080416_03}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngû nh¤t sß môn t£ng l­ hoÕt ðµng	12095
#131	1	0	12100	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngû nh¤t sß môn t£ng l­ hoÕt ðµng	12195
#132	1	0	12200	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngû nh¤t sß môn t£ng l­ hoÕt ðµng	12295
#133	1	0	12300	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngû nh¤t sß môn t£ng l­ hoÕt ðµng	12395
#134	1	0	11801	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	11895
#135	1	0	11901	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	11995
#136	1	0	12001	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12095
#137	1	0	12101	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12195
#138	1	0	12201	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12295
#139	1	0	12301	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12395
#140	1	0	12401	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12495
#141	1	0	12501	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12595
#142	1	0	12601	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12695
#143	1	0	12701	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12795
#144	1	0	12801	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12895
#145	1	0	12901	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12995
#146	1	0	13001	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	13095
#147	1	0	12479	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12495
#148	1	0	12579	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12595
#149	1	0	12679	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12695
#150	1	0	12779	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12795
#151	1	0	12879	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12895
#152	1	0	12979	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12995
#153	1	0	13079	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	13095
#154	1	0	12479	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12495
#155	1	0	12579	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12595
#156	1	0	12679	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12695
#157	1	0	12779	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12795
#158	1	0	12879	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12895
#159	1	0	12979	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	12995
#160	1	0	13079	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tân thánh höa truy«n lÕi	13095
161	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95
162	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95
163	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
164	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
165	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
166	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trang b¸ cñc ph¦m	-1
167	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
#168	1	1	76	0	808076	88	0	0	0	0	0	4	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #YY19:00 ngày mai #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Dñ báo hoÕt ðµng túc c¥u	95
#169	1	1	12	0	808076	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Pcs¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Pcs¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	60	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u!	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u	95
170	0	1	66	0	808000	0	0	0	0	0	0	4	30	#PVòng mµt #GLâu Lan T¥m Bäo #Pvào lúc #G19:30#P s¨ b¡t ð¥u. Các v¸ anh hùng chu¦n b¸ sÆn sàng tham gia. Chï c¥n ðÆng c¤p ðÕt t¾i #G75 C¤p #Pvà tâm pháp ðÕt t¾i #G40 C¤p. #PL§p thành mµt t± ðµi #G3 ngß¶i #Ptìm ðªn #GLâu Lan ( 162:75 ) Kim Lâu Linh #Plà có th¬ tham gia	170	5	#GLâu Lan T¥m Bäo #Pvào lúc #G19:30#P s¨ b¡t ð¥u. Các v¸ anh hùng chu¦n b¸ sÆn sàng tham gia. Chï c¥n ðÆng c¤p ðÕt t¾i #G75 C¤p #Pvà tâm pháp ðÕt t¾i #G40 C¤p. #PL§p thành mµt t± ðµi #G3 ngß¶i #Ptìm ðªn #GLâu Lan ( 162:75 ) Kim Lâu Linh #Plà có th¬ tham gia	180	20	#GHoÕt ðµng Lau Lan T¥m Bäo #Pchu¦n b¸ b¡t ð¥u. Tình ðªn #GLâu Lan ( 162:75 ) #Ptìm ðßþc #GKim Lâu Linh #Pbáo danh có th¬ tham gia.	320	5	#PHôm nay #GHoÕt ðµng Lâu Lan T¥m Bäo #Pvào lúc #G22:00 #Ps¨ kªt thúc. Các v¸ anh hùng chú ý th¶i gian.	329	1	#PHôm nay #GHoÕt ðµng Lâu Lan T¥m Bäo #Pðä kªt thúc. Cäm tÕ các v¸ ðä tham dñ. Hoan nghênh các v¸ ngày mai lÕi ðªn !	330	-1	Lâu Lan T¥m Bäo	95
#171	0	1	85	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
172	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
#173	0	1	85	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	87
174	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	89
#175	0	0	26376	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Dñ báo sñ ki®n túc c¥u s¡p ðªn	26395
#176	0	0	26412	0	808000	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u!	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	26495
#177	0	0	29176	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Dñ báo sñ ki®n túc c¥u s¡p ðªn	29195
#178	0	0	29212	0	808000	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u!	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	29295
#179	0	0	31976	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Dñ báo sñ ki®n túc c¥u s¡p ðªn	31995
#180	0	0	32012	0	808000	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u!	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	32095
#181	0	0	35476	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Dñ báo sñ ki®n túc c¥u s¡p ðªn	35495
#182	0	0	35512	0	808000	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u!	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	35595
#183	1	0	25700	39	50058	1440	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	L­ Trung Thu Ng÷c Th¯ hÕ phàm	27300
184	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
185	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	56
186	0	1	34	0	808000	0	0	0	0	0	0	4	30	#PVòng mµt #GLâu Lan T¥m Bäo #Pvào lúc #G11:30#P s¨ b¡t ð¥u. Các v¸ anh hùng chu¦n b¸ sÆn sàng tham gia. Chï c¥n ðÆng c¤p ðÕt t¾i #G75 C¤p #Pvà tâm pháp ðÕt t¾i #G40 C¤p. #PL§p thành mµt t± ðµi #G3 ngß¶i #Ptìm ðªn #GLâu Lan ( 162:75 ) Kim Lâu Linh #Plà có th¬ tham gia.	170	5	#GLâu Lan T¥m Bäo #Pvào lúc #G11:30#P s¨ b¡t ð¥u. Các v¸ anh hùng chu¦n b¸ sÆn sàng tham gia. Chï c¥n ðÆng c¤p ðÕt t¾i #G75 C¤p #Pvà tâm pháp ðÕt t¾i #G40 C¤p. #PL§p thành mµt t± ðµi #G3 ngß¶i #Ptìm ðªn #GLâu Lan ( 162:75 ) Kim Lâu Linh #Plà có th¬ tham gia.	180	20	#GHoÕt ðµng Lau Lan T¥m Bäo #Pchu¦n b¸ b¡t ð¥u. Tình ðªn #GLâu Lan ( 162:75 ) #Ptìm ðßþc #GKim Lâu Linh #Pbáo danh có th¬ tham gia.	350	5	#PHôm nay #GHoÕt ðµng Lâu Lan T¥m Bäo #Pvào lúc #G22:00 #Ps¨ kªt thúc. Các v¸ anh hùng chú ý th¶i gian.	359	1	#PHôm nay #GHoÕt ðµng Lâu Lan T¥m Bäo #Pðä kªt thúc. Cäm tÕ các v¸ ðä tham dñ. Hoan nghênh các v¸ ngày mai lÕi ðªn !	360	-1	Lâu Lan T¥m Bäo	95
187	0	1	74	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
188	0	1	76	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
189	0	1	74	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	76
190	0	1	76	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	78
#191	0	2	76	0	808041	0	0	0	0	0	0	4	30	#{BHSJ_081014_01}	50	15	#{BHSJ_081014_30}	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Bang hµi qu¥n th¬ thu t§p	95
192	1	0	2441	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	649	6	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2488
193	1	0	2541	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2588
194	1	0	2641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2688
195	1	0	2741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2788
