INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10201020	1	2	1	20	0	407	1	-1	-1	未央	100	六國刀兵融何物？咸陽寶氣照未央。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_11	枪棒类	2030	2002	0
10202001	1	2	2	1	0	458	1	-1	-1	赤銅刃	10	普通赤銅所鑄，行走江湖防身所用。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_2	单短类	2031	2002	0
10202002	1	2	2	2	0	462	1	-1	-1	青鋒劍	20	此劍精鋼淬就，鋒刃銳利，劍身細長並泛冷冷青光，殺氣盡顯。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_8	单短类	2032	2002	0
10202003	1	2	2	3	0	463	1	-1	-1	天狼劍	30	劍身古樸，傳為天狼族的神器，內藏秘笈，得此秘笈可一統天狼一族。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_9	单短类	2033	2002	0
10202004	1	2	2	4	0	469	1	-1	-1	越王刃	40	傳為越王勾踐的刀，做工精美，華麗無比，刀刃鋒利，切金斷玉。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_15	单短类	2034	2002	0
10202005	1	2	2	5	0	475	1	-1	-1	松紋古定刀	50	此刀造型詭異，大氣中透露著鋒芒，神妙無雙。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_5	单短类	2035	2002	0
10202006	1	2	2	6	0	476	1	-1	-1	裁金劍	60	古代名劍，劍身厚重，卻鋒銳無比，離鞘便聞沉雷鬱鬱，日月無光。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_6	单短类	2036	2002	0
10202007	1	2	2	7	0	481	1	-1	-1	游龍劍	70	劍未出鞘，紅光自劍鞘而出，離鞘寸許，則劍氣沖霄而起，猶如驚天游龍。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_11	单短类	2037	2002	0
10202008	1	2	2	8	0	485	1	-1	-1	紫電清霜	80	用萬年玄鐵于白炭明火中精煉百日而成，世之少見的神器。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_15	单短类	2038	2002	0
10202009	1	2	2	9	0	490	1	-1	-1	墨求	90	此刀乃誠信高潔之刀，俯視劍刀，如同登高山而下望深淵，飄渺深邃仿佛有巨龍盤臥。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_4	单短类	2039	2002	0
10202010	1	2	2	10	0	495	1	-1	-1	湛盧	100	歐冶一去幾春秋，湛盧之劍亦悠悠。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_9	单短类	2040	2002	0
10202011	1	2	2	11	0	458	1	-1	-1	青銅刃	10	普通青銅所鑄，行走江湖防身所用。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_2	单短类	2031	2002	0
10202012	1	2	2	12	0	462	1	-1	-1	欺霜劍	20	劍氣超然，劍身似有冰霜護體，相當鋒銳，殺氣盡顯。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_8	单短类	2032	2002	0
10202013	1	2	2	13	0	463	1	-1	-1	破軍劍	30	劍身古樸，傳為百年前一代高手無為劍客的佩劍，內藏武林秘笈，得此秘笈可破千軍。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_9	单短类	2033	2002	0
10202014	1	2	2	14	0	471	1	-1	-1	吳鉤劍	40	傳此劍為吳王夫差命能工巧匠歷經五載打造而成，劍身華貴，帶回鉤，嗜血無道。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_1	单短类	2041	2002	0
10202015	1	2	2	15	0	475	1	-1	-1	閉月羞光劍	50	飾有七彩珠、九華玉的寒光逼人、刃如霜雪的寶劍，據說此劍出鞘，月光也為之羞澀。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_5	单短类	2035	2002	0
10202016	1	2	2	16	0	477	1	-1	-1	斷玉劍	60	古代名劍，此劍觸物無聲，驁然而過，隨過隨合，覺疾而不血刃，切玉斷金。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_7	单短类	2042	2002	0
10202017	1	2	2	17	0	481	1	-1	-1	天瀑劍	70	此劍造型奇特，傳為當年天機老人于雪山之上的天瀑中所得，經歷天瀑之水上千年的沖刷，劍鋒吹毛斷發，絕世人間。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_11	单短类	2037	2002	0
10202018	1	2	2	18	0	481	1	-1	-1	赤霄白帝	80	神器，力可破天，非有緣者不可得。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_16	单短类	2043	2002	0
10202019	1	2	2	19	0	492	1	-1	-1	工布	90	劍長三尺六寸，陽光下觀此劍，劍鋒如一泓清水，手抖則劍身若蓮花盛開，靜止則仿佛有天龍神遊其中。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_6	单短类	2044	2002	0
10202020	1	2	2	20	0	496	1	-1	-1	龍淵	100	又見龍淵沖北斗，江湖幾度又紛爭。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_10	单短类	2045	2002	0
10203001	1	2	3	1	0	591	1	-1	-1	繡絨雙刀	10	同色雙劍，精鐵打造所成，適合初入江湖者使用。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_2	双短类	2046	2002	0
10203002	1	2	3	2	0	596	1	-1	-1	白虎雙劍	20	劍身細窄，傳有白虎之神附體，威力巨大。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_7	双短类	2047	2002	0
10203003	1	2	3	3	0	600	1	-1	-1	日月雙劍	30	孤陰不生，孤陽不長，陰陽同修，雙劍合壁。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_11	双短类	2048	2002	0
10203004	1	2	3	4	0	604	1	-1	-1	分水峨嵋刺	40	小巧輕便，便於攜帶，乃著名女飛賊雁無雙的成名武器。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_15	双短类	2049	2002	0
10203005	1	2	3	5	0	608	1	-1	-1	龍鳳雙劍	50	雌雄雙劍，劍身雕有古樸的龍鳳花紋，同色流蘇。兩劍互有感應，龍劍出，鳳劍隨。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_3	双短类	2050	2002	0
10203006	1	2	3	6	0	613	1	-1	-1	團花雙斧	60	上古時傳下的武器，雙面開刃，頸長八寸，有大範圍攻擊特性，雙斧可掃千軍。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_8	双短类	2051	2002	0
10203007	1	2	3	7	0	618	1	-1	-1	七星夢蝶雙刀	70	相傳為女鑄造師費蜓傷心欲絕之時所鑄，雙刀舞動會有雙蝶繞刀翩躚起舞。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_13	双短类	2052	2002	0
10203008	1	2	3	8	0	622	1	-1	-1	冷月寒星	80	冷月漸生，寒星隱去，千年神器，刀合無雙，刀中藏著武林的大秘密，得之者無敵於天下。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_1	双短类	2053	2002	0
10203009	1	2	3	9	0	626	1	-1	-1	鳳求凰	90	相傳鑄劍之時雷公打鐵，雨娘淋水，歷經十載方成，劍刃如水晶般剔透，兩劍一放下便合為一處。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_5	双短类	2054	2002	0
10203010	1	2	3	10	0	631	1	-1	-1	劈風	100	利刃神兵揮日月，神工鬼斧號劈風。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_10	双短类	2055	2002	0
10203011	1	2	3	11	0	591	1	-1	-1	柳葉雙刀	10	刀身形似柳葉，薄鋼單刃，輕靈飄逸，講究以快致勝。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_2	双短类	2055	2002	0
10203012	1	2	3	12	0	596	1	-1	-1	靈蛇雙劍	20	劍身細窄，傳有靈蛇之神附體，威力巨大。	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_7	双短类	2055	2002	0
10203013	1	2	3	13	0	600	1	-1	-1	星辰雙劍	30	明星在左，暗星在右，左右同出，雙劍合併。	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_11	双短类	2055	2002	0
10203014	1	2	3	14	0	604	1	-1	-1	三星峨嵋刺	40	小巧輕便，便於攜帶，乃著名女飛賊雁無雙的成名武器。	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_15	双短类	2055	2002	0
10203015	1	2	3	15	0	609	1	-1	-1	春秋雙刀	50	傳為春秋時期流傳下來的名刀，刀鋒青冷如水，殺人無聲，江湖一現必引無邊殺劫。	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_4	双短类	2056	2002	0
10203016	1	2	3	16	0	613	1	-1	-1	殊流雙斧	60	上古時傳下的武器，尾厚刃薄，柄長三尺，有大範圍攻擊特性，雙斧可掃千軍。	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_8	双短类	2055	2002	0
10203017	1	2	3	17	0	618	1	-1	-1	秋水雁翎雙刀	70	南海海底所出，傳為南海龍女所用，精緻無比，寒意隱生。	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_13	双短类	2055	2002	0
10203018	1	2	3	18	0	622	1	-1	-1	霜天曉角	80	飛霜滿天，曉月露角，千年神器，刀合無雙，刀中藏著武林的大秘密，得之者無敵於天下。	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_1	双短类	2055	2002	0
10203019	1	2	3	19	0	627	1	-1	-1	雲追月	90	盤古開闢鴻蒙，天地間綠氣隱隱，萬物精華所煉化之成的一雙利刃。	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_6	双短类	2057	2002	0
10203020	1	2	3	20	0	632	1	-1	-1	蒼龍	100	隱世江湖多載叟，至今無事話蒼龍。	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_11	双短类	2058	2002	0
10204001	1	2	4	1	0	546	1	-1	-1	宣紙扇	10	扇骨採用檀香木製成，小巧玲瓏，華美精緻，氣味芬芳。	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_2	扇类	2059	2002	0
